employee_id,age,department,work_mode,tenure_months,monthly_salary,months_since_last_hike,productivity_score,leaves_last_90_days,manager_change_count,performance_rating,Attrition
1,59,HR,Onsite,138,140990,1,9.92,1,0,2,0
2,49,Finance,Hybrid,99,34791,12,4.8,4,0,5,0
3,35,Engineering,Remote,84,161401,29,2.18,3,0,3,1
4,28,Finance,Remote,146,91032,33,9.72,1,0,5,1
5,41,HR,Remote,45,118662,29,9.86,2,0,4,0
6,59,Marketing,Hybrid,108,51300,23,2.68,3,0,2,1
7,39,Support,Remote,62,105700,32,8.78,1,0,3,1
8,43,Support,Hybrid,59,85609,9,4.51,0,0,2,0
9,31,Finance,Remote,177,120045,17,4.43,3,0,4,0
10,31,Sales,Hybrid,160,91901,18,3.36,1,0,3,1
11,44,Support,Remote,138,35703,6,1.4,1,1,3,0
12,56,Marketing,Onsite,11,93115,18,3.41,1,1,2,0
13,44,Finance,Onsite,102,57676,23,1.48,0,0,5,1
14,23,HR,Onsite,70,151332,14,9.32,1,0,5,0
15,42,Marketing,Onsite,123,197995,22,6.96,2,0,1,1
16,22,Finance,Remote,175,59802,3,8.98,4,0,1,0
17,44,Marketing,Onsite,34,120331,3,7.46,1,0,3,1
18,50,Support,Hybrid,101,154786,4,2.18,2,1,2,1
19,58,HR,Onsite,145,95169,22,9.47,2,1,3,0
20,22,Finance,Onsite,104,98147,10,9.1,0,0,2,0
21,41,Engineering,Onsite,40,52075,10,4.13,1,3,4,0
22,53,HR,Remote,19,112015,12,2.0,0,2,1,0
23,32,Engineering,Onsite,67,39304,13,7.34,3,0,3,0
24,42,Marketing,Hybrid,82,159851,7,7.56,5,2,4,1
25,45,Sales,Onsite,64,150729,24,9.07,3,0,5,0
26,47,HR,Onsite,83,89622,17,1.47,0,1,1,0
27,48,Marketing,Onsite,47,84215,17,2.28,0,0,2,0
28,36,Engineering,Hybrid,6,103973,9,6.38,1,3,5,0
29,35,Support,Onsite,16,138654,6,6.57,1,0,5,0
30,23,Support,Hybrid,146,173593,13,1.3,1,1,4,0
31,57,Sales,Hybrid,176,54028,14,4.57,1,1,3,0
32,27,HR,Onsite,171,69328,15,6.26,3,0,3,0
33,41,HR,Hybrid,39,57301,1,7.64,1,0,4,0
34,29,HR,Remote,177,68015,29,3.85,1,0,5,1
35,59,Marketing,Onsite,113,66845,29,5.36,2,0,1,0
36,38,Sales,Onsite,140,116818,17,8.33,2,0,5,0
37,24,HR,Hybrid,138,106394,30,9.59,2,0,4,0
38,45,Marketing,Hybrid,71,73714,12,3.07,3,1,5,1
39,34,Support,Onsite,110,110722,19,3.28,1,0,5,0
40,29,Engineering,Remote,55,55230,34,9.46,0,1,5,1
41,46,Marketing,Hybrid,129,122554,22,4.56,3,0,5,0
42,22,Support,Hybrid,49,79262,32,7.47,4,0,1,0
43,40,Support,Remote,164,71722,34,6.51,4,1,2,1
44,48,Engineering,Remote,21,92796,35,3.57,1,0,2,0
45,27,Support,Onsite,37,117052,19,6.88,5,0,3,1
46,28,Sales,Remote,116,130808,2,6.9,1,2,2,0
47,55,Engineering,Onsite,24,166311,7,6.33,2,0,2,0
48,34,Support,Remote,55,121951,31,1.9,5,1,2,1
49,37,Finance,Hybrid,25,80886,28,9.96,3,0,5,0
50,56,Marketing,Onsite,135,133424,6,4.6,5,0,5,0
51,24,Support,Onsite,127,188267,1,6.74,2,2,1,0
52,22,Sales,Onsite,93,134697,20,8.97,4,0,5,0
53,26,HR,Remote,94,126299,5,4.81,3,1,5,0
54,24,Support,Hybrid,71,195746,27,7.97,3,0,2,0
55,49,HR,Onsite,122,179177,35,9.75,1,0,1,0
56,38,Finance,Onsite,24,190811,31,4.23,1,1,1,0
57,46,Support,Onsite,11,193041,8,4.65,0,1,2,1
58,54,Engineering,Onsite,73,44497,10,9.15,2,0,2,1
59,30,HR,Hybrid,12,162888,22,2.44,1,0,1,1
60,56,Finance,Remote,35,148915,10,1.26,1,1,4,0
61,34,Engineering,Hybrid,141,122019,1,9.18,3,0,2,0
62,51,Engineering,Onsite,23,139017,2,8.39,1,0,2,0
63,35,Engineering,Hybrid,83,99385,10,9.75,3,1,1,0
64,28,Engineering,Onsite,167,135153,34,1.52,2,0,4,1
65,34,Support,Remote,88,63826,14,2.41,3,0,4,0
66,43,Marketing,Remote,80,140034,10,1.95,2,0,3,0
67,41,Support,Remote,97,114242,30,7.15,2,0,4,1
68,36,Support,Onsite,140,153066,27,6.45,3,1,2,1
69,38,Finance,Hybrid,34,80100,27,4.23,2,0,5,0
70,44,Finance,Remote,75,155170,31,1.52,1,0,1,0
71,46,Marketing,Onsite,159,165431,24,6.76,2,0,2,0
72,45,Finance,Onsite,128,126205,19,6.13,2,0,1,0
73,49,Sales,Hybrid,141,42809,27,2.02,0,0,4,0
74,35,Marketing,Remote,31,94450,24,9.18,0,1,1,0
75,21,Finance,Onsite,130,68428,10,2.79,2,0,2,0
76,45,Marketing,Hybrid,103,102790,18,7.69,4,0,5,1
77,27,Support,Remote,15,141126,27,8.97,2,1,2,0
78,29,Support,Hybrid,57,120321,0,6.22,2,0,3,0
79,44,Marketing,Hybrid,75,32093,4,3.22,4,0,1,0
80,21,Sales,Onsite,34,74498,9,3.78,2,0,2,0
81,28,Sales,Onsite,103,146251,33,8.97,3,1,4,0
82,44,Marketing,Onsite,75,70985,35,3.68,2,1,4,0
83,31,Finance,Hybrid,29,62009,1,7.72,2,0,2,1
84,37,HR,Onsite,16,158515,17,9.91,0,0,3,1
85,28,Sales,Hybrid,167,47718,12,10.0,3,0,1,0
86,55,Engineering,Hybrid,77,46705,4,5.8,1,0,3,0
87,55,Support,Onsite,37,117618,19,8.44,1,1,5,1
88,53,Marketing,Remote,81,92598,1,9.91,1,0,2,0
89,25,Engineering,Remote,149,107878,10,4.37,4,0,3,0
90,59,Marketing,Remote,172,42239,29,3.27,1,1,5,0
91,48,Support,Hybrid,124,76622,31,2.03,2,0,3,0
92,27,Support,Hybrid,19,76665,31,2.27,0,2,5,1
93,29,Sales,Hybrid,102,62274,27,8.68,2,0,4,0
94,28,Sales,Onsite,136,172491,9,6.3,0,0,4,0
95,32,Engineering,Hybrid,77,138368,21,8.86,4,2,2,1
96,54,Marketing,Onsite,41,176075,16,8.11,1,1,3,0
97,53,Support,Onsite,61,191938,21,7.06,5,1,4,0
98,43,Engineering,Remote,26,183060,18,6.48,2,0,1,0
99,44,HR,Remote,71,138563,16,1.44,2,1,4,1
100,57,Engineering,Remote,103,166746,23,8.85,4,1,4,0
101,55,Finance,Onsite,70,123103,35,4.76,0,0,3,0
102,42,Engineering,Onsite,107,96446,31,6.04,1,1,5,0
103,47,Finance,Onsite,157,59072,35,1.2,5,0,1,1
104,55,Finance,Hybrid,107,63717,27,9.42,1,0,1,0
105,21,Finance,Onsite,103,187723,13,9.12,1,2,5,0
106,55,HR,Remote,19,147202,35,5.89,1,0,3,0
107,57,Engineering,Remote,68,152389,5,6.2,1,0,4,0
108,34,Engineering,Onsite,70,139525,8,7.35,1,0,5,0
109,23,HR,Onsite,113,34646,20,3.38,1,2,1,1
110,21,Support,Remote,57,69713,11,3.0,3,0,1,0
111,25,Sales,Onsite,165,97936,29,7.07,3,1,4,1
112,46,Engineering,Remote,61,52185,30,1.94,1,1,4,0
113,34,Sales,Hybrid,92,114263,3,5.09,2,1,2,0
114,59,Marketing,Remote,30,82107,30,5.43,3,1,5,1
115,47,Marketing,Hybrid,153,47563,26,4.43,3,0,4,0
116,29,HR,Onsite,127,100729,24,2.67,1,0,2,1
117,35,Marketing,Onsite,115,45701,4,4.2,2,1,3,0
118,35,Marketing,Hybrid,6,158331,5,4.04,3,2,1,0
119,46,Support,Onsite,18,190482,4,5.49,5,2,5,0
120,33,Support,Hybrid,10,129280,26,7.07,2,0,3,0
121,52,Support,Onsite,92,68665,7,9.71,5,2,5,0
122,59,Marketing,Remote,139,45957,8,2.3,2,1,5,0
123,52,HR,Onsite,77,76008,14,8.86,4,1,4,0
124,24,Finance,Remote,101,91920,35,3.56,2,0,2,1
125,50,Finance,Remote,84,193947,6,6.32,2,0,5,1
126,57,Sales,Hybrid,52,143828,31,5.92,1,0,3,0
127,43,Finance,Onsite,31,153852,7,6.01,2,0,5,0
128,59,Finance,Hybrid,145,162698,14,7.51,1,0,2,0
129,35,Support,Onsite,110,120815,18,4.44,1,0,1,0
130,49,Support,Remote,93,194714,5,3.87,0,0,5,0
131,56,Marketing,Remote,164,68311,18,8.68,2,1,3,0
132,33,Sales,Onsite,154,62356,27,2.98,5,0,1,1
133,52,Engineering,Onsite,53,33809,16,2.62,3,1,1,0
134,27,Sales,Hybrid,145,64875,18,1.14,1,0,4,1
135,42,Sales,Onsite,86,39465,30,2.9,2,1,4,1
136,48,HR,Onsite,153,103844,10,5.67,2,0,5,0
137,22,Marketing,Onsite,2,116889,14,5.85,2,1,3,1
138,26,HR,Hybrid,86,45250,9,3.29,3,1,4,0
139,48,Sales,Onsite,133,76023,22,1.65,6,1,2,0
140,48,Sales,Remote,4,131350,2,7.7,3,0,2,0
141,40,Sales,Hybrid,164,46427,2,7.82,3,0,1,0
142,50,Finance,Hybrid,6,194348,17,9.98,3,1,1,1
143,31,HR,Remote,149,101643,24,9.1,1,0,1,0
144,48,Sales,Remote,118,164511,19,9.33,2,0,2,1
145,45,Support,Remote,89,108672,28,8.18,2,0,4,0
146,59,Marketing,Onsite,154,47300,21,6.54,0,0,4,0
147,53,Marketing,Remote,167,90289,14,2.16,2,0,5,0
148,21,Support,Onsite,161,178254,9,6.6,3,0,3,0
149,47,Marketing,Hybrid,14,187981,20,1.5,2,1,2,0
150,33,Finance,Hybrid,56,49659,28,8.97,1,0,1,1
151,23,Finance,Remote,81,192475,31,5.34,2,2,3,1
