employee_id,department,current_level,tenure_in_role_months,avg_performance_rating_last_4q,goals_completed_pct,peer_review_score,training_hours_last_year,cross_team_projects,manager_recommendation,PromotionReady
1,Finance,Senior,6,2.43,46.8,5.23,70,1,0,0
2,Sales,Senior,53,3.19,19.8,6.47,18,0,1,1
3,HR,Senior,9,1.94,27.5,4.82,71,0,0,0
4,HR,Mid,1,2.55,73.2,1.88,46,1,0,0
5,Finance,Mid,58,1.18,15.0,9.14,31,1,1,0
6,Sales,Mid,32,3.58,64.6,4.46,60,0,0,1
7,Engineering,Mid,59,1.83,64.2,2.28,72,1,1,0
8,Sales,Mid,51,2.85,47.6,2.28,57,2,1,1
9,Support,Mid,45,2.02,51.7,1.44,40,0,0,0
10,Support,Junior,7,2.99,43.6,8.2,32,2,1,1
11,Engineering,Junior,10,2.69,72.0,8.15,27,1,0,0
12,Finance,Senior,34,4.85,28.2,2.94,34,1,1,0
13,Engineering,Senior,39,1.26,80.1,9.24,21,1,1,0
14,Finance,Junior,5,2.2,97.0,9.12,29,2,0,0
15,Engineering,Senior,24,4.51,90.3,7.06,32,1,0,1
16,HR,Junior,50,3.47,50.4,9.53,24,2,0,1
17,Support,Senior,31,4.09,76.3,6.31,5,0,0,0
18,HR,Mid,32,1.26,29.5,1.57,17,0,0,0
19,Finance,Junior,45,4.78,91.1,7.58,47,2,0,0
20,Finance,Mid,50,3.91,31.8,4.4,74,1,0,0
21,Marketing,Mid,21,2.39,48.6,5.86,20,0,0,0
22,Engineering,Senior,40,2.12,98.2,4.42,70,0,1,0
23,Engineering,Senior,1,3.07,52.5,9.84,55,0,0,0
24,Marketing,Junior,41,1.47,35.4,6.92,36,3,0,0
25,Engineering,Mid,58,1.93,25.5,1.71,21,0,0,0
26,HR,Mid,30,4.57,68.5,9.86,7,1,1,1
27,Marketing,Mid,8,4.03,67.6,7.85,48,1,0,0
28,Engineering,Senior,27,1.37,42.5,5.0,44,2,1,0
29,Support,Mid,18,2.04,22.1,1.2,75,0,1,0
30,Engineering,Mid,10,1.1,60.1,8.82,20,2,0,0
31,Sales,Senior,43,4.49,75.5,3.03,71,1,1,1
32,Finance,Mid,58,3.02,82.8,7.07,7,1,1,0
33,Sales,Junior,13,1.36,63.3,3.01,16,3,1,0
34,HR,Mid,34,2.11,0.1,2.29,8,0,0,0
35,HR,Mid,17,4.65,32.1,9.24,8,0,0,1
36,Engineering,Mid,3,4.5,86.9,4.39,65,1,0,0
37,HR,Mid,47,4.95,74.9,9.94,26,3,1,1
38,Engineering,Mid,46,1.9,54.0,6.51,79,0,1,1
39,Sales,Senior,25,1.23,15.3,8.15,53,2,0,0
40,Engineering,Mid,26,2.43,29.7,1.38,62,2,0,0
41,Engineering,Junior,14,3.31,89.6,2.07,34,2,0,0
42,Marketing,Senior,2,1.24,67.9,2.56,45,0,0,0
43,Finance,Senior,41,4.41,79.4,6.42,58,0,0,1
44,Finance,Mid,14,1.86,53.0,7.11,59,2,0,1
45,Finance,Mid,44,2.62,76.7,8.08,10,0,0,0
46,Support,Senior,19,1.77,58.8,1.57,54,0,1,0
47,Sales,Junior,52,1.86,19.7,5.53,8,0,0,0
48,HR,Mid,19,1.7,13.4,5.03,35,2,0,0
49,Engineering,Mid,20,1.58,36.6,7.12,56,0,0,0
50,Marketing,Mid,35,3.39,46.9,7.64,30,5,1,1
51,Finance,Senior,54,1.69,6.6,1.14,68,1,1,0
52,Engineering,Mid,37,4.85,67.8,1.53,10,0,0,0
53,Marketing,Mid,46,2.18,74.6,5.4,45,2,1,1
54,Finance,Senior,47,1.1,96.3,5.99,3,1,1,1
55,HR,Junior,25,1.5,12.9,9.29,45,0,0,0
56,Sales,Mid,3,1.48,46.8,6.04,65,2,1,1
57,HR,Junior,29,1.99,18.3,4.95,51,1,1,0
58,HR,Senior,17,3.09,69.0,8.7,73,1,1,1
59,HR,Mid,10,4.04,89.2,4.74,59,0,1,0
60,Sales,Senior,9,2.94,70.9,4.47,65,1,1,1
61,HR,Junior,34,2.93,69.8,6.29,20,0,1,0
62,HR,Senior,56,4.5,11.3,7.52,13,1,1,1
63,Finance,Mid,29,2.44,46.6,3.13,4,0,0,0
64,HR,Senior,13,2.2,73.1,6.12,12,0,0,0
65,Sales,Junior,12,3.55,92.3,4.21,15,1,1,1
66,HR,Mid,49,4.13,90.3,1.97,31,3,1,1
67,Sales,Senior,14,1.99,45.6,6.29,76,2,1,1
68,Marketing,Mid,15,2.36,82.2,1.8,20,1,0,0
69,Sales,Junior,55,1.52,49.9,2.79,34,1,0,0
70,Marketing,Mid,46,3.58,57.9,8.01,63,1,0,1
71,Sales,Junior,8,3.15,67.8,8.44,32,2,1,1
72,Support,Senior,30,2.74,46.9,4.8,29,1,1,0
73,HR,Junior,23,2.98,85.3,4.92,49,1,1,1
74,Support,Junior,20,2.63,0.9,3.69,22,0,0,0
75,Support,Senior,31,3.51,52.6,2.9,57,1,0,0
76,Marketing,Mid,39,2.66,45.4,3.81,63,1,1,1
77,HR,Senior,51,3.39,45.2,4.72,75,0,0,0
78,HR,Junior,7,4.94,97.3,5.52,16,2,1,1
79,Support,Senior,23,2.87,4.4,1.21,34,2,0,0
80,Engineering,Mid,5,4.46,37.3,7.19,53,0,1,1
81,Finance,Mid,46,4.49,27.1,6.27,9,0,0,1
82,Marketing,Senior,22,2.98,7.6,1.04,62,0,1,0
83,HR,Senior,24,3.49,10.6,7.03,25,1,0,1
84,Sales,Junior,43,1.95,83.6,2.48,58,0,1,0
85,Sales,Senior,29,3.2,95.2,5.9,46,2,1,1
